题号,题目名称,难度,分类,所属文档,Rust代码,Python代码,Go代码,Lean证明,是否有形式化证明
1,Two Sum,简单,数组/哈希表,docs/13-LeetCode算法面试专题/01-数据结构专题/04-哈希表.md,examples/algorithms/src/leetcode/lc0001_two_sum.rs,examples/algorithms-python/src/leetcode/lc0001_two_sum.py,examples/algorithms-go/leetcode/lc0001_two_sum.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0001_two_sum.lean,是
3,Longest Substring Without Repeating Characters,中等,字符串/滑动窗口,docs/13-LeetCode算法面试专题/02-算法范式专题/03-滑动窗口.md,examples/algorithms/src/leetcode/lc0003_longest_substring_without_repeating_characters.rs,examples/algorithms-python/src/leetcode/lc0003_longest_substring_without_repeating_characters.py,examples/algorithms-go/leetcode/lc0003_longest_substring_without_repeating_characters.go;examples/algorithms-go/leetcode/lc0003_longest_substring_without_repeating_characters_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0003_longest_substring.lean,是
4,Median of Two Sorted Arrays,困难,数组/二分查找,docs/13-LeetCode算法面试专题/02-算法范式专题/05-二分查找.md,examples/algorithms/src/leetcode/lc0004_median_of_two_sorted_arrays.rs,examples/algorithms-python/src/leetcode/lc0004_median_of_two_sorted_arrays.py,examples/algorithms-go/leetcode/lc0004_median_of_two_sorted_arrays.go,,否
5,Longest Palindromic Substring,中等,字符串/动态规划,docs/13-LeetCode算法面试专题/04-字符串专题/02-回文问题.md,examples/algorithms/src/leetcode/lc0005_longest_palindromic_substring.rs,examples/algorithms-python/src/leetcode/lc0005_longest_palindromic_substring.py,,,否
9,Palindrome Number,简单,数学,docs/13-LeetCode算法面试专题/03-数学专题/01-数论基础（GCD-LCM-质数）.md,examples/algorithms/src/leetcode/lc0009_palindrome_number.rs,examples/algorithms-python/src/leetcode/lc0009_palindrome_number.py,examples/algorithms-go/leetcode/lc0009_palindrome_number.go,,否
11,Container With Most Water,中等,数组/双指针,docs/13-LeetCode算法面试专题/02-算法范式专题/02-双指针.md,examples/algorithms/src/leetcode/lc0011_container_with_most_water.rs;examples/algorithms-rust/src/leetcode/lc0011_container_with_most_water.rs,examples/algorithms-python/src/leetcode/lc0011_container_with_most_water.py,examples/algorithms-go/leetcode/lc0011_container_with_most_water.go;examples/algorithms-go/leetcode/lc0011_container_with_most_water_test.go,,否
15,3Sum,中等,数组/双指针,docs/13-LeetCode算法面试专题/02-算法范式专题/02-双指针.md,examples/algorithms/src/leetcode/lc0015_3sum.rs,examples/algorithms-python/src/leetcode/lc0015_3sum.py,examples/algorithms-go/leetcode/lc0015_3sum.go;examples/algorithms-go/leetcode/lc0015_3sum_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0015_3sum.lean,是
17,Letter Combinations of a Phone Number,中等,字符串/回溯,,examples/algorithms/src/leetcode/lc0017_letter_combinations.rs,examples/algorithms-python/src/leetcode/lc0017_letter_combinations.py,,,否
20,Valid Parentheses,简单,栈,docs/13-LeetCode算法面试专题/01-数据结构专题/03-栈与队列.md,examples/algorithms/src/leetcode/lc0020_valid_parentheses.rs,examples/algorithms-python/src/leetcode/lc0020_valid_parentheses.py,examples/algorithms-go/leetcode/lc0020_valid_parentheses.go,,否
21,Merge Two Sorted Lists,简单,链表,docs/13-LeetCode算法面试专题/01-数据结构专题/02-链表.md,examples/algorithms/src/leetcode/lc0021_merge_two_sorted_lists.rs,examples/algorithms-python/src/leetcode/lc0021_merge_two_sorted_lists.py,examples/algorithms-go/leetcode/lc0021_merge_two_sorted_lists.go;examples/algorithms-go/leetcode/lc0021_merge_two_sorted_lists_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0021_merge_two_sorted_lists.lean,是
23,Merge k Sorted Lists,困难,链表/分治/堆,docs/13-LeetCode算法面试专题/01-数据结构专题/02-链表.md,examples/algorithms/src/leetcode/lc0023_merge_k_sorted_lists.rs,examples/algorithms-python/src/leetcode/lc0023_merge_k_sorted_lists.py,examples/algorithms-go/leetcode/lc0023_merge_k_sorted_lists.go,,否
26,Remove Duplicates from Sorted Array,简单,数组/双指针,docs/13-LeetCode算法面试专题/02-算法范式专题/02-双指针.md,examples/algorithms/src/leetcode/lc0026_remove_duplicates.rs,examples/algorithms-python/src/leetcode/lc0026_remove_duplicates.py,examples/algorithms-go/leetcode/lc0026_remove_duplicates.go;examples/algorithms-go/leetcode/lc0026_remove_duplicates_test.go,,否
28,Implement strStr(),简单,字符串/KMP,docs/13-LeetCode算法面试专题/04-字符串专题/01-字符串匹配与KMP应用.md,examples/algorithms/src/leetcode/lc0028_implement_strstr.rs,examples/algorithms-python/src/leetcode/lc0028_implement_strstr.py,,,否
33,Search in Rotated Sorted Array,中等,数组/二分查找,docs/13-LeetCode算法面试专题/02-算法范式专题/05-二分查找.md,examples/algorithms/src/leetcode/lc0033_search_in_rotated_sorted_array.rs,examples/algorithms-python/src/leetcode/lc0033_search_in_rotated_sorted_array.py,examples/algorithms-go/leetcode/lc0033_search_in_rotated_sorted_array.go;examples/algorithms-go/leetcode/lc0033_search_in_rotated_sorted_array_test.go,,否
37,Sudoku Solver,困难,回溯,docs/13-LeetCode算法面试专题/02-算法范式专题/09-回溯与DFS.md,examples/algorithms/src/leetcode/lc0037_sudoku_solver.rs,examples/algorithms-python/src/leetcode/lc0037_sudoku_solver.py,,,否
39,Combination Sum,中等,数组/回溯,,examples/algorithms/src/leetcode/lc0039_combination_sum.rs,examples/algorithms-python/src/leetcode/lc0039_combination_sum.py,,,否
42,Trapping Rain Water,困难,数组/双指针/动态规划,docs/13-LeetCode算法面试专题/06-面试专题/01-高频Top100-数组与链表.md,,,examples/algorithms-go/leetcode/lc0042_trapping_rain_water.go,,否
45,Jump Game II,中等,数组/贪心/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/07-贪心算法.md,examples/algorithms/src/leetcode/lc0045_jump_game_ii.rs,examples/algorithms-python/src/leetcode/lc0045_jump_game_ii.py,examples/algorithms-go/leetcode/lc0045_jump_game_ii.go,,否
46,Permutations,中等,数组/回溯,docs/13-LeetCode算法面试专题/02-算法范式专题/09-回溯与DFS.md,examples/algorithms/src/leetcode/lc0046_permutations.rs;examples/algorithms-rust/src/leetcode/lc0046_permutations.rs,examples/algorithms-python/leetcode/lc0046_permutations.py;examples/algorithms-python/src/leetcode/lc0046_permutations.py,examples/algorithms-go/leetcode/lc0046_permutations.go,,否
48,Rotate Image,中等,数组/数学,docs/13-LeetCode算法面试专题/01-数据结构专题/01-数组与矩阵.md,examples/algorithms/src/leetcode/lc0048_rotate_image.rs,examples/algorithms-python/src/leetcode/lc0048_rotate_image.py,,,否
50,"Pow(x, n)",中等,数学/分治,docs/13-LeetCode算法面试专题/03-数学专题/01-数论基础（GCD-LCM-质数）.md,examples/algorithms/src/leetcode/lc0050_powx_n.rs,examples/algorithms-python/src/leetcode/lc0050_powx_n.py,examples/algorithms-go/leetcode/lc0050_powx_n.go,,否
51,N-Queens,困难,回溯,docs/13-LeetCode算法面试专题/02-算法范式专题/09-回溯与DFS.md,examples/algorithms/src/leetcode/lc0051_n_queens.rs,examples/algorithms-python/leetcode/lc0051_n_queens.py;examples/algorithms-python/src/leetcode/lc0051_n_queens.py,,,否
53,Maximum Subarray,简单,数组/动态规划/分治,docs/13-LeetCode算法面试专题/02-算法范式专题/06-分治.md,,,,examples/lean_proofs/FormalAlgorithm/leetcode/lc0053_maximum_subarray.lean,是
54,Spiral Matrix,中等,数组/模拟,docs/13-LeetCode算法面试专题/01-数据结构专题/01-数组与矩阵.md,,examples/algorithms-python/src/leetcode/lc0054_spiral_matrix.py,,,否
55,Jump Game,中等,数组/贪心/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/07-贪心算法.md,examples/algorithms/src/leetcode/lc0055_jump_game.rs;examples/algorithms-rust/src/leetcode/lc0055_jump_game.rs,examples/algorithms-python/src/leetcode/lc0055_jump_game.py,examples/algorithms-go/leetcode/lc0055_jump_game.go,,否
62,Unique Paths,中等,数组/动态规划/数学,docs/13-LeetCode算法面试专题/03-数学专题/02-组合数学入门.md,examples/algorithms/src/leetcode/lc0062_unique_paths.rs,examples/algorithms-python/src/leetcode/lc0062_unique_paths.py,examples/algorithms-go/leetcode/lc0062_unique_paths.go,,否
70,Climbing Stairs,简单,动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0070_climbing_stairs.rs;examples/algorithms-rust/src/leetcode/lc0070_climbing_stairs.rs,examples/algorithms-python/src/leetcode/lc0070_climbing_stairs.py,examples/algorithms-go/leetcode/lc0070_climbing_stairs.go;examples/algorithms-go/leetcode/lc0070_climbing_stairs_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0070_climbing_stairs.lean,是
72,Edit Distance,困难,字符串/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0072_edit_distance.rs,examples/algorithms-python/src/leetcode/lc0072_edit_distance.py,examples/algorithms-go/leetcode/lc0072_edit_distance.go;examples/algorithms-go/leetcode/lc0072_edit_distance_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0072_edit_distance.lean,是
76,Minimum Window Substring,困难,字符串/滑动窗口/哈希表,docs/13-LeetCode算法面试专题/02-算法范式专题/03-滑动窗口.md,examples/algorithms/src/leetcode/lc0076_minimum_window_substring.rs,examples/algorithms-python/src/leetcode/lc0076_minimum_window_substring.py,examples/algorithms-go/leetcode/lc0076_minimum_window_substring.go;examples/algorithms-go/leetcode/lc0076_minimum_window_substring_test.go,,否
79,Word Search,中等,数组/回溯,docs/13-LeetCode算法面试专题/02-算法范式专题/09-回溯与DFS.md,,,examples/algorithms-go/leetcode/lc0079_word_search.go,,否
94,Binary Tree Inorder Traversal,简单,树/栈,docs/13-LeetCode算法面试专题/01-数据结构专题/05-二叉树与BST.md,examples/algorithms/src/leetcode/lc0094_binary_tree_inorder_traversal.rs,examples/algorithms-python/src/leetcode/lc0094_binary_tree_inorder_traversal.py,,,否
96,Unique Binary Search Trees,中等,树/动态规划/数学,docs/13-LeetCode算法面试专题/03-数学专题/02-组合数学入门.md,examples/algorithms/src/leetcode/lc0096_unique_binary_search_trees.rs,examples/algorithms-python/src/leetcode/lc0096_unique_binary_search_trees.py,examples/algorithms-go/leetcode/lc0096_unique_binary_search_trees.go,,否
102,Binary Tree Level Order Traversal,中等,树/BFS,docs/13-LeetCode算法面试专题/06-面试专题/02-高频Top100-树与图.md,examples/algorithms/src/leetcode/lc0102_binary_tree_level_order.rs,examples/algorithms-python/src/leetcode/lc0102_binary_tree_level_order.py,,,否
104,Maximum Depth of Binary Tree,简单,树/DFS,docs/13-LeetCode算法面试专题/01-数据结构专题/05-二叉树与BST.md,examples/algorithms/src/leetcode/lc0104_maximum_depth_of_binary_tree.rs,examples/algorithms-python/src/leetcode/lc0104_maximum_depth_of_binary_tree.py,examples/algorithms-go/leetcode/lc0104_maximum_depth_of_binary_tree.go;examples/algorithms-go/leetcode/lc0104_maximum_depth_of_binary_tree_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0104_maximum_depth_of_binary_tree.lean,是
127,Word Ladder,困难,BFS,docs/13-LeetCode算法面试专题/02-算法范式专题/10-BFS与图搜索.md,examples/algorithms/src/leetcode/lc0127_word_ladder.rs;examples/algorithms-rust/src/leetcode/lc0127_word_ladder.rs,examples/algorithms-python/leetcode/lc0127_word_ladder.py;examples/algorithms-python/src/leetcode/lc0127_word_ladder.py,examples/algorithms-go/leetcode/lc0127_word_ladder.go,,否
133,Clone Graph,中等,图/DFS/BFS,docs/13-LeetCode算法面试专题/05-图论专题/01-图的遍历（DFS-BFS-并查集）.md,examples/algorithms/src/leetcode/lc0133_clone_graph.rs,examples/algorithms-python/src/leetcode/lc0133_clone_graph.py,,,否
136,Single Number,简单,位运算,docs/13-LeetCode算法面试专题/02-算法范式专题/11-位运算.md,examples/algorithms/src/leetcode/lc0136_single_number.rs;examples/algorithms-rust/src/leetcode/lc0136_single_number.rs,examples/algorithms-python/src/leetcode/lc0136_single_number.py,,examples/lean_proofs/FormalAlgorithm/leetcode/lc0136_single_number.lean,是
137,Single Number II,中等,位运算,,,examples/algorithms-python/src/leetcode/lc0137_single_number_ii.py,,,否
141,Linked List Cycle,简单,链表/双指针,docs/13-LeetCode算法面试专题/01-数据结构专题/02-链表.md,examples/algorithms/src/leetcode/lc0141_linked_list_cycle.rs,examples/algorithms-python/src/leetcode/lc0141_linked_list_cycle.py,examples/algorithms-go/leetcode/lc0141_linked_list_cycle.go;examples/algorithms-go/leetcode/lc0141_linked_list_cycle_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0141_linked_list_cycle.lean,是
142,Linked List Cycle II,中等,链表/双指针/数学,docs/13-LeetCode算法面试专题/01-数据结构专题/02-链表.md,examples/algorithms/src/leetcode/lc0142_linked_list_cycle_ii.rs,examples/algorithms-python/src/leetcode/lc0142_linked_list_cycle_ii.py,examples/algorithms-go/leetcode/lc0142_linked_list_cycle_ii.go;examples/algorithms-go/leetcode/lc0142_linked_list_cycle_ii_test.go,,否
153,Find Minimum in Rotated Sorted Array,中等,数组/二分查找,docs/13-LeetCode算法面试专题/02-算法范式专题/05-二分查找.md,examples/algorithms/src/leetcode/lc0153_find_minimum_in_rotated_sorted_array.rs,examples/algorithms-python/src/leetcode/lc0153_find_minimum_in_rotated_sorted_array.py,examples/algorithms-go/leetcode/lc0153_find_minimum_in_rotated_sorted_array.go;examples/algorithms-go/leetcode/lc0153_find_minimum_in_rotated_sorted_array_test.go,,否
155,Min Stack,中等,栈/设计,docs/13-LeetCode算法面试专题/01-数据结构专题/03-栈与队列.md,examples/algorithms/src/leetcode/lc0155_min_stack.rs,examples/algorithms-python/src/leetcode/lc0155_min_stack.py,examples/algorithms-go/leetcode/lc0155_min_stack.go,,否
167,Two Sum II - Input Array Is Sorted,中等,数组/双指针,docs/13-LeetCode算法面试专题/02-算法范式专题/02-双指针.md,,examples/algorithms-python/src/leetcode/lc0167_two_sum_ii.py,examples/algorithms-go/leetcode/lc0167_two_sum_ii.go;examples/algorithms-go/leetcode/lc0167_two_sum_ii_test.go,,否
191,Number of 1 Bits,简单,位运算,docs/13-LeetCode算法面试专题/02-算法范式专题/11-位运算.md,,examples/algorithms-python/src/leetcode/lc0191_number_of_1_bits.py,examples/algorithms-go/leetcode/lc0191_number_of_1_bits.go,,否
198,House Robber,中等,动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0198_house_robber.rs,examples/algorithms-python/src/leetcode/lc0198_house_robber.py,examples/algorithms-go/leetcode/lc0198_house_robber.go;examples/algorithms-go/leetcode/lc0198_house_robber_test.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0198_house_robber.lean,是
200,Number of Islands,中等,DFS/BFS/并查集,docs/13-LeetCode算法面试专题/01-数据结构专题/07-并查集.md,examples/algorithms/src/leetcode/lc0200_number_of_islands.rs,examples/algorithms-python/src/leetcode/lc0200_number_of_islands.py,examples/algorithms-go/leetcode/lc0200_number_of_islands.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0200_number_of_islands.lean,是
204,Count Primes,中等,数学/质数筛,docs/13-LeetCode算法面试专题/03-数学专题/01-数论基础（GCD-LCM-质数）.md,examples/algorithms/src/leetcode/lc0204_count_primes.rs,examples/algorithms-python/src/leetcode/lc0204_count_primes.py,examples/algorithms-go/leetcode/lc0204_count_primes.go,,否
206,Reverse Linked List,简单,链表,docs/13-LeetCode算法面试专题/01-数据结构专题/02-链表.md,examples/algorithms/src/leetcode/lc0206_reverse_linked_list.rs,examples/algorithms-python/src/leetcode/lc0206_reverse_linked_list.py,,,否
207,Course Schedule,中等,图/拓扑排序/DFS,docs/13-LeetCode算法面试专题/02-算法范式专题/10-BFS与图搜索.md,examples/algorithms/src/leetcode/lc0207_course_schedule.rs,examples/algorithms-python/leetcode/lc0207_course_schedule.py;examples/algorithms-python/src/leetcode/lc0207_course_schedule.py,examples/algorithms-go/leetcode/lc0207_course_schedule.go,examples/lean_proofs/FormalAlgorithm/leetcode/lc0207_course_schedule.lean,是
209,Minimum Size Subarray Sum,中等,数组/前缀和/滑动窗口,docs/13-LeetCode算法面试专题/02-算法范式专题/03-滑动窗口.md,examples/algorithms/src/leetcode/lc0209_minimum_size_subarray_sum.rs,examples/algorithms-python/src/leetcode/lc0209_minimum_size_subarray_sum.py,examples/algorithms-go/leetcode/lc0209_minimum_size_subarray_sum.go;examples/algorithms-go/leetcode/lc0209_minimum_size_subarray_sum_test.go,,否
210,Course Schedule II,中等,图/拓扑排序,docs/13-LeetCode算法面试专题/05-图论专题/03-拓扑排序与DAG DP.md,examples/algorithms/src/leetcode/lc0210_course_schedule_ii.rs,examples/algorithms-python/src/leetcode/lc0210_course_schedule_ii.py,,,否
214,Shortest Palindrome,困难,字符串/KMP,docs/13-LeetCode算法面试专题/04-字符串专题/01-字符串匹配与KMP应用.md,,examples/algorithms-python/src/leetcode/lc0214_shortest_palindrome.py,,,否
223,Rectangle Area,中等,数学/几何,docs/13-LeetCode算法面试专题/03-数学专题/03-计算几何基础.md,examples/algorithms/src/leetcode/lc0223_rectangle_area.rs,examples/algorithms-python/src/leetcode/lc0223_rectangle_area.py,examples/algorithms-go/leetcode/lc0223_rectangle_area.go,,否
226,Invert Binary Tree,简单,树/DFS,docs/13-LeetCode算法面试专题/01-数据结构专题/05-二叉树与BST.md,examples/algorithms/src/leetcode/lc0226_invert_binary_tree.rs,examples/algorithms-python/src/leetcode/lc0226_invert_binary_tree.py,,,否
232,Implement Queue using Stacks,简单,栈/队列/设计,docs/13-LeetCode算法面试专题/01-数据结构专题/03-栈与队列.md,examples/algorithms/src/leetcode/lc0232_implement_queue_using_stacks.rs,examples/algorithms-python/src/leetcode/lc0232_implement_queue_using_stacks.py,examples/algorithms-go/leetcode/lc0232_implement_queue_using_stacks.go,,否
236,Lowest Common Ancestor of a Binary Tree,中等,树/DFS,docs/13-LeetCode算法面试专题/01-数据结构专题/05-二叉树与BST.md,examples/algorithms/src/leetcode/lc0236_lowest_common_ancestor.rs;examples/algorithms-rust/src/leetcode/lc0236_lowest_common_ancestor.rs,examples/algorithms-python/src/leetcode/lc0236_lowest_common_ancestor.py,,,否
239,Sliding Window Maximum,困难,队列/滑动窗口/单调队列,docs/13-LeetCode算法面试专题/01-数据结构专题/03-栈与队列.md,examples/algorithms/src/leetcode/lc0239_sliding_window_maximum.rs,examples/algorithms-python/src/leetcode/lc0239_sliding_window_maximum.py,examples/algorithms-go/leetcode/lc0239_sliding_window_maximum.go;examples/algorithms-go/leetcode/lc0239_sliding_window_maximum_test.go,,否
240,Search a 2D Matrix II,中等,数组/二分查找/分治,docs/13-LeetCode算法面试专题/01-数据结构专题/01-数组与矩阵.md,,examples/algorithms-python/src/leetcode/lc0240_search_2d_matrix_ii.py,examples/algorithms-go/leetcode/lc0240_search_2d_matrix_ii.go,,否
260,Single Number III,中等,位运算,,,examples/algorithms-python/src/leetcode/lc0260_single_number_iii.py,,,否
300,Longest Increasing Subsequence,中等,数组/二分查找/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0300_longest_increasing_subsequence.rs,examples/algorithms-python/src/leetcode/lc0300_longest_increasing_subsequence.py,examples/algorithms-go/leetcode/lc0300_longest_increasing_subsequence.go;examples/algorithms-go/leetcode/lc0300_longest_increasing_subsequence_test.go,,否
312,Burst Balloons,困难,数组/动态规划,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0312_burst_balloons.rs,examples/algorithms-python/src/leetcode/lc0312_burst_balloons.py,examples/algorithms-go/leetcode/lc0312_burst_balloons.go;examples/algorithms-go/leetcode/lc0312_burst_balloons_test.go,,否
322,Coin Change,中等,动态规划,docs/13-LeetCode算法面试专题/06-面试专题/03-高频Top100-DP与贪心.md,,examples/algorithms-python/src/leetcode/lc0322_coin_change.py,,,否
338,Counting Bits,简单,动态规划/位运算,docs/13-LeetCode算法面试专题/02-算法范式专题/11-位运算.md,,examples/algorithms-python/leetcode/lc0338_counting_bits.py;examples/algorithms-python/src/leetcode/lc0338_counting_bits.py,,,否
370,Range Addition,中等,数组/差分,docs/13-LeetCode算法面试专题/02-算法范式专题/04-前缀和与差分.md,examples/algorithms/src/leetcode/lc0370_range_addition.rs,examples/algorithms-python/src/leetcode/lc0370_range_addition.py,examples/algorithms-go/leetcode/lc0370_range_addition.go,,否
372,Super Pow,中等,数学/分治/模运算,docs/13-LeetCode算法面试专题/03-数学专题/01-数论基础（GCD-LCM-质数）.md,examples/algorithms/src/leetcode/lc0372_super_pow.rs,examples/algorithms-python/src/leetcode/lc0372_super_pow.py,examples/algorithms-go/leetcode/lc0372_super_pow.go,,否
384,Shuffle an Array,中等,数组/随机/设计,docs/13-LeetCode算法面试专题/03-数学专题/04-概率与随机算法面试题.md,examples/algorithms/src/leetcode/lc0384_shuffle_an_array.rs,examples/algorithms-python/src/leetcode/lc0384_shuffle_an_array.py;examples/algorithms-python/src/leetcode/lc0384_shuffle_array.py,examples/algorithms-go/leetcode/lc0384_shuffle_an_array.go,,否
398,Random Pick Index,中等,数组/随机/蓄水池抽样,docs/13-LeetCode算法面试专题/03-数学专题/04-概率与随机算法面试题.md,examples/algorithms/src/leetcode/lc0398_random_pick_index.rs,examples/algorithms-python/src/leetcode/lc0398_random_pick_index.py,examples/algorithms-go/leetcode/lc0398_random_pick_index.go,,否
416,Partition Equal Subset Sum,中等,动态规划/背包问题,docs/13-LeetCode算法面试专题/02-算法范式专题/08-动态规划.md,examples/algorithms/src/leetcode/lc0416_partition_equal_subset_sum.rs,examples/algorithms-python/src/leetcode/lc0416_partition_equal_subset_sum.py,examples/algorithms-go/leetcode/lc0416_partition_equal_subset_sum.go;examples/algorithms-go/leetcode/lc0416_partition_equal_subset_sum_test.go,,否
